Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
J152-ND,CINCH CONNECTIVITY SOLUTIONS JOHNSON,108-0903-001,"BANANA JACK 1,BANANA JACK 2,BANANA JACK 3",3,0,0,6 Weeks,CONN JACK BANANA INSUL NYLON BLA,,RoHS Compliant,Lead free,N/A
609-3470-ND,FCI,68001-203HLF,J4,1,0,0,6 Weeks,BERGSTIK II .100" SR STRAIGHT,,RoHS Compliant,Lead free,Unaffected Dec-2012
302-1242-ND,E-T-A,1610-92-10A,F1,1,0,0,8-9 Weeks,CIR BRKR THRM 10A 12VDC,,RoHS Compliant,Lead free,Unaffected Jun-2014
S5751-10-ND,SULLINS CONNECTOR SOLUTIONS,NPPN101BFCN-RC,"J13,J14",2,0,0,2-4 Weeks,CONN RECEPT 2MM SINGLE STR 10POS,,RoHS Compliant,Lead free,Unaffected Dec-2013
3M5475-ND,3M,4816-3004-CP,J16,1,0,0,6 Weeks,CONN IC DIP SOCKET 16POS TIN,,RoHS Compliant,Lead free,Not Available
S9013E-05-ND,SULLINS CONNECTOR SOLUTIONS,GRPB052VWQP-RC,J3,1,0,0,2-4 Weeks,CONN HEADER .050" 10PS DL SMD AU,,RoHS Compliant,Lead free,Unaffected Dec-2013
311-1.00MFRCT-ND,YAGEO (VA),RC1206FR-071ML,"R13,R14,R5,R8",4,0,0,17 Weeks,RES SMD 1M OHM 1% 1/4W 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
311-56.2KFRCT-ND,YAGEO (VA),RC1206FR-0756K2L,"R10,R2,R4,R7",4,0,0,17 Weeks,RES SMD 56.2K OHM 1% 1/4W 1206,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2014
679-2226-ND,MEC SWITCHES,3FSH9,"S1,S2",2,0,0,12-14 Weeks,SWITCH TACTILE SPST-NO 0.05A 24V,,RoHS Compliant,Lead free,Unaffected Dec-2013
296-1979-5-ND,TEXAS INSTRUMENTS,ULN2003AN,U3,1,0,0,6 Weeks,TRANS 7NPN DARL 50V 0.5A 16DIP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2012
